season,player_id,player,share
1969,westje01,Jerry West,1.0
1970,reedwi01,Willis Reed,1.0
1971,abdulka01,Kareem Abdul-Jabbar,1.0
1972,chambwi01,Wilt Chamberlain,1.0
1973,reedwi01,Willis Reed,1.0
1974,havlijo01,John Havlicek,1.0
1975,barryri01,Rick Barry,1.0
1976,whitejo01,Jo Jo White,1.0
1977,waltobi01,Bill Walton,1.0
1978,unselwe01,Wes Unseld,1.0
1979,johnsde01,Dennis Johnson,1.0
1980,johnsma02,Magic Johnson,1.0
1981,maxwece01,Cedric Maxwell,1.0
1982,johnsma02,Magic Johnson,1.0
1983,malonmo01,Moses Malone,1.0
1984,birdla01,Larry Bird,1.0
1985,abdulka01,Kareem Abdul-Jabbar,1.0
1986,birdla01,Larry Bird,1.0
1987,johnsma02,Magic Johnson,1.0
1988,worthja01,James Worthy,1.0
1989,dumarjo01,Joe Dumars,1.0
1990,thomais01,Isiah Thomas,1.0
1991,jordami01,Michael Jordan,1.0
1992,jordami01,Michael Jordan,1.0
1993,jordami01,Michael Jordan,1.0
1994,olajuha01,Hakeem Olajuwon,1.0
1995,olajuha01,Hakeem Olajuwon,1.0
1996,jordami01,Michael Jordan,1.0
1997,jordami01,Michael Jordan,1.0
1998,jordami01,Michael Jordan,1.0
1999,duncati01,Tim Duncan,1.0
2000,onealsh01,Shaquille O'Neal,1.0
2001,onealsh01,Shaquille O'Neal,1.0
2002,onealsh01,Shaquille O'Neal,1.0
2003,duncati01,Tim Duncan,1.0
2004,billuch01,Chauncey Billups,1.0
2005,duncati01,Tim Duncan,1.0
2006,wadedw01,Dwyane Wade,1.0
2007,parketo01,Tony Parker,1.0
2008,piercpa01,Paul Pierce,1.0
2009,bryanko01,Kobe Bryant,1.0
2010,bryanko01,Kobe Bryant,1.0
2011,nowitdi01,Dirk Nowitzki,1.0
2012,jamesle01,LeBron James,1.0
2013,jamesle01,LeBron James,1.0
2014,leonaka01,Kawhi Leonard,1.0
2015,iguodan01,Andre Iguodala,1.0
2016,jamesle01,LeBron James,1.0
2017,duranke01,Kevin Durant,1.0
2018,duranke01,Kevin Durant,1.0
2019,leonaka01,Kawhi Leonard,1.0
2020,jamesle01,LeBron James,1.0
2021,antetgi01,Giannis Antetokounmpo,1.0
2022,curryst01,Stephen Curry,1.0
2023,jokicni01,Nikola Jokić,1.0
2024,brownja02,Jaylen Brown,1.0
2025,gilgesh01,Shai Gilgeous-Alexander,1.0
2026,brunsja01,Jalen Brunson,1.0
